87 0.184343(0.184343)
88 0.212871(0.212871)
89 0.248703(0.248703)
90 0.288455(0.288455)
91 0.322849(0.322849)
92 0.338253(0.338253)
93 0.326513(0.326513)
94 0.293419(0.293419)
95 0.252669(0.252669)
96 0.214871(0.214871)
97 0.18439(0.18439)
98 0.161665(0.161665)
99 0.145689(0.145689)
100 0.135249(0.135249)
101 0.129347(0.129347)
102 0.127269(0.127269)
103 0.128519(0.128519)
104 0.132703(0.132703)
105 0.13937(0.13937)
106 0.147811(0.147811)
107 0.156853(0.156853)
108 0.164808(0.164808)
109 0.169781(0.169781)
110 0.170397(0.170397)
111 0.166503(0.166503)
112 0.159253(0.159253)
113 0.150474(0.150474)
114 0.141909(0.141909)
115 0.134811(0.134811)
116 0.129936(0.129936)
117 0.127717(0.127717)
118 0.128455(0.128455)
119 0.132461(0.132461)
120 0.140137(0.140137)
121 0.151992(0.151992)
122 0.168555(0.168555)
123 0.190065(0.190065)
124 0.215812(0.215812)
125 0.243074(0.243074)
126 0.266347(0.266347)
127 0.278576(0.278576)
128 0.275286(0.275286)
129 0.258134(0.258134)
130 0.233419(0.233419)
131 0.207594(0.207594)
132 0.184629(0.184629)
133 0.166073(0.166073)
134 0.152079(0.152079)
135 0.142233(0.142233)
136 0.135994(0.135994)
137 0.132871(0.132871)
138 0.132452(0.132452)
139 0.134384(0.134384)
140 0.138304(0.138304)
141 0.143765(0.143765)
142 0.150151(0.150151)
143 0.156643(0.156643)
144 0.162256(0.162256)
145 0.166025(0.166025)
146 0.167263(0.167263)
147 0.1658(0.1658)
148 0.16202(0.16202)
149 0.156693(0.156693)
150 0.150704(0.150704)
151 0.144832(0.144833)
152 0.139644(0.139644)
153 0.135482(0.135482)
154 0.132507(0.132507)
155 0.130747(0.130747)
156 0.130128(0.130128)
157 0.130498(0.130498)
158 0.131637(0.131637)
159 0.133256(0.133256)
160 0.135015(0.135015)
161 0.136554(0.136554)
162 0.137546(0.137546)
163 0.137759(0.137759)
164 0.137111(0.137111)
165 0.135696(0.135696)
166 0.133756(0.133756)
167 0.131632(0.131632)
168 0.129694(0.129694)
169 0.128296(0.128296)
170 0.127741(0.127741)
171 0.128274(0.128274)
172 0.13008(0.13008)
173 0.133279(0.133279)
174 0.137914(0.137914)
175 0.143909(0.143909)
176 0.151015(0.151015)
177 0.15873(0.15873)
178 0.16626(0.16626)
179 0.172558(0.172558)
180 0.176523(0.176523)
181 0.177337(0.177337)
182 0.174788(0.174788)
183 0.16937(0.16937)
184 0.162084(0.162084)
185 0.154076(0.154076)
186 0.146337(0.146337)
187 0.139569(0.139569)
188 0.13418(0.13418)
189 0.130355(0.130355)
190 0.128122(0.128122)
191 0.127407(0.127407)
192 0.128048(0.128048)
193 0.129802(0.129802)
194 0.132334(0.132334)
195 0.135212(0.135212)
196 0.137937(0.137937)
197 0.140003(0.140003)
198 0.141009(0.141009)
199 0.140757(0.140757)
200 0.139306(0.139306)
201 0.136948(0.136948)
202 0.134109(0.134109)
203 0.131243(0.131243)
204 0.128738(0.128738)
205 0.126876(0.126876)
206 0.125815(0.125815)
207 0.125597(0.125597)
208 0.126156(0.126156)
209 0.127321(0.127321)
210 0.128834(0.128834)
211 0.130371(0.130371)
212 0.131588(0.131588)
213 0.132193(0.132193)
214 0.132018(0.132018)
215 0.131076(0.131076)
216 0.129564(0.129564)
217 0.127819(0.127819)
218 0.12625(0.12625)
219 0.12527(0.12527)
220 0.125259(0.125259)
221 0.126543(0.126543)
222 0.129393(0.129394)
223 0.134026(0.134026)
224 0.140569(0.140569)
225 0.149003(0.149003)
226 0.159042(0.159042)
227 0.169975(0.169975)
228 0.180537(0.180537)
229 0.188986(0.188986)
230 0.193535(0.193535)
231 0.1931(0.1931)
232 0.187873(0.187873)
233 0.179253(0.179253)
234 0.16918(0.16918)
235 0.159436(0.159436)
236 0.151292(0.151292)
237 0.145521(0.145521)
238 0.142564(0.142564)
239 0.142711(0.142711)
240 0.146228(0.146228)
241 0.15342(0.15342)
242 0.164603(0.164603)
243 0.179936(0.179936)
244 0.199036(0.199036)
245 0.220297(0.220297)
246 0.240182(0.240182)
247 0.25341(0.25341)
248 0.255172(0.255172)
249 0.244421(0.244421)
250 0.224753(0.224753)
251 0.201728(0.201728)
252 0.179801(0.179801)
253 0.161303(0.161303)
254 0.146948(0.146948)
255 0.136621(0.136621)
256 0.12991(0.12991)
257 0.126359(0.126359)
258 0.125546(0.125546)
259 0.127063(0.127063)
260 0.130452(0.130452)
261 0.135111(0.135111)
262 0.140227(0.140227)
263 0.14479(0.14479)
264 0.14777(0.14777)
265 0.14843(0.14843)
266 0.146615(0.146615)
267 0.142813(0.142813)
268 0.137935(0.137935)
269 0.132986(0.132986)
270 0.128811(0.128811)
271 0.126019(0.126019)
272 0.125002(0.125002)
273 0.126(0.126)
274 0.129148(0.129148)
275 0.134476(0.134476)
276 0.14186(0.14186)
277 0.150902(0.150902)
278 0.160782(0.160782)
279 0.170172(0.170172)
280 0.17737(0.17737)
281 0.180798(0.180798)
282 0.179683(0.179683)
283 0.174457(0.174457)
284 0.166519(0.166519)
285 0.157582(0.157582)
286 0.149104(0.149104)
287 0.142063(0.142063)
288 0.136994(0.136994)
289 0.134137(0.134137)
290 0.133552(0.133552)
291 0.135196(0.135196)
292 0.138925(0.138925)
293 0.144449(0.144449)
294 0.151243(0.151243)
295 0.158453(0.158453)
296 0.164894(0.164894)
297 0.169228(0.169228)
298 0.170368(0.170368)
299 0.167932(0.167932)
300 0.162417(0.162417)
301 0.154967(0.154967)
302 0.146905(0.146905)
303 0.139348(0.139348)
304 0.133061(0.133061)
305 0.128472(0.128472)
306 0.125778(0.125778)
307 0.125024(0.125024)
308 0.126159(0.126159)
309 0.129036(0.129036)
310 0.133382(0.133382)
311 0.138735(0.138735)
312 0.144396(0.144396)
313 0.149443(0.149443)
314 0.152884(0.152884)
315 0.153943(0.153943)
